Full Export Completed,Partial Result Timestamp,Filters,Users,Date,Initial Direction,First Queue
YES,,Limit Interactions[ACD-routed: YES; Match Any: YES]; Queue: Outbound-Mid Year Health Check; Queue: Outbound-Gift Card Follow Up; Queue: Outbound-One Life Renewal Scheduling; Queue: Mid Year Health Check,,2025-07-28 12:43:00,Inbound,Outbound-Gift Card Follow Up
YES,,Limit Interactions[ACD-routed: YES; Match Any: YES]; Queue: Outbound-Mid Year Health Check; Queue: Outbound-Gift Card Follow Up; Queue: Outbound-One Life Renewal Scheduling; Queue: Mid Year Health Check,Eve Adams,2025-07-28 12:22:00,Inbound,Outbound-One Life Renewal Scheduling
YES,,Limit Interactions[ACD-routed: YES; Match Any: YES]; Queue: Outbound-Mid Year Health Check; Queue: Outbound-Gift Card Follow Up; Queue: Outbound-One Life Renewal Scheduling; Queue: Mid Year Health Check,Nathan Scott,2025-07-28 12:49:00,Inbound,Outbound-One Life Renewal Scheduling
YES,,Limit Interactions[ACD-routed: YES; Match Any: YES]; Queue: Outbound-Mid Year Health Check; Queue: Outbound-Gift Card Follow Up; Queue: Outbound-One Life Renewal Scheduling; Queue: Mid Year Health Check,,2025-07-28 12:20:00,Inbound,Outbound-Gift Card Follow Up
YES,,Limit Interactions[ACD-routed: YES; Match Any: YES]; Queue: Outbound-Mid Year Health Check; Queue: Outbound-Gift Card Follow Up; Queue: Outbound-One Life Renewal Scheduling; Queue: Mid Year Health Check,,2025-07-28 12:33:00,Inbound,Outbound-Mid Year Health Check
YES,,Limit Interactions[ACD-routed: YES; Match Any: YES]; Queue: Outbound-Mid Year Health Check; Queue: Outbound-Gift Card Follow Up; Queue: Outbound-One Life Renewal Scheduling; Queue: Mid Year Health Check,,2025-07-28 12:22:00,Inbound,Mid Year Health Check
YES,,Limit Interactions[ACD-routed: YES; Match Any: YES]; Queue: Outbound-Mid Year Health Check; Queue: Outbound-Gift Card Follow Up; Queue: Outbound-One Life Renewal Scheduling; Queue: Mid Year Health Check,Tina Campbell,2025-07-28 12:30:00,Inbound,Outbound-Mid Year Health Check
YES,,Limit Interactions[ACD-routed: YES; Match Any: YES]; Queue: Outbound-Mid Year Health Check; Queue: Outbound-Gift Card Follow Up; Queue: Outbound-One Life Renewal Scheduling; Queue: Mid Year Health Check,Ivan Lewis,2025-07-28 12:28:00,Inbound,Outbound-Gift Card Follow Up
YES,,Limit Interactions[ACD-routed: YES; Match Any: YES]; Queue: Outbound-Mid Year Health Check; Queue: Outbound-Gift Card Follow Up; Queue: Outbound-One Life Renewal Scheduling; Queue: Mid Year Health Check,Tina Campbell,2025-07-28 12:39:00,Inbound,Outbound-Mid Year Health Check
YES,,Limit Interactions[ACD-routed: YES; Match Any: YES]; Queue: Outbound-Mid Year Health Check; Queue: Outbound-Gift Card Follow Up; Queue: Outbound-One Life Renewal Scheduling; Queue: Mid Year Health Check,,2025-07-28 12:54:00,Inbound,Mid Year Health Check
YES,,Limit Interactions[ACD-routed: YES; Match Any: YES]; Queue: Outbound-Mid Year Health Check; Queue: Outbound-Gift Card Follow Up; Queue: Outbound-One Life Renewal Scheduling; Queue: Mid Year Health Check,,2025-07-28 12:06:00,Inbound,Outbound-Gift Card Follow Up
YES,,Limit Interactions[ACD-routed: YES; Match Any: YES]; Queue: Outbound-Mid Year Health Check; Queue: Outbound-Gift Card Follow Up; Queue: Outbound-One Life Renewal Scheduling; Queue: Mid Year Health Check,,2025-07-28 12:19:00,Inbound,Outbound-Mid Year Health Check
