Interval Start,Interval End,Interval Complete,Filters,Media Type,Agent Id,Agent Name,Handle
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,54,charlotte rogers,23
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,39,kenneth nelson,11
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,25,steven walker,8
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,73,hazel kelly,13
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,21,paul clark,11
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,56,claudia cook,8
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,81,kathleen cole,5
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,79,judith ross,17
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,46,beatrice campbell,23
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,95,matilda alexander,13
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,75,janice price,16
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,19,jessica martinez,6
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,93,marjorie gonzales,2
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,25,steven walker,10
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,42,angela perez,0
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,59,elaine murphy,10
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,89,maggie washington,23
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,54,charlotte rogers,0
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,1,john smith,21
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,21,paul clark,24
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,75,janice price,5
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,37,anthony baker,3
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,54,charlotte rogers,3
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,95,matilda alexander,12
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,77,joann wood,22
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,43,anna roberts,25
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,95,matilda alexander,25
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,97,melba griffin,17
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,33,edward hill,18
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,56,claudia cook,16
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,17,susan thompson,1
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,39,kenneth nelson,0
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,45,arlene phillips,17
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,44,annette turner,5
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,50,caroline collins,10
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,7,william miller,1
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,57,darlene morgan,2
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,50,caroline collins,25
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,23,karen lewis,25
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,99,myrtle hayes,22
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,48,carla evans,6
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,87,loretta hughes,16
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,81,kathleen cole,15
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,42,angela perez,24
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,79,judith ross,13
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,71,gwendolyn watson,6
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,47,bernadette parker,24
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,85,laverne long,22
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,11,robert anderson,15
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,43,anna roberts,7
