Interval Start,Interval End,Interval Complete,Filters,Media Type,Agent Id,Agent Name,Handle,Avg Handle,Avg Talk,Avg Hold,Avg ACW,Total Handle,Total Talk,Total Hold,Total ACW
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,10,jennifer taylor,21,21,18,0,1,105,90,0,5
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,53,cecilia morris,4,4,0,3,10,20,0,15,50
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,16,thomas martin,12,12,4,4,2,60,20,20,10
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,68,gina gray,16,16,7,2,10,80,35,10,50
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,55,christine reed,4,4,2,0,1,20,10,0,5
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,86,lillie patterson,10,10,10,0,8,50,50,0,40
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,76,jean bennett,25,25,8,6,5,125,40,30,25
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,50,caroline collins,9,9,0,4,9,45,0,20,45
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,56,claudia cook,14,14,6,7,1,70,30,35,5
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,76,jean bennett,1,1,1,0,8,5,5,0,40
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,10,jennifer taylor,25,25,18,3,2,125,90,15,10
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,14,charles white,4,4,0,0,4,20,0,0,20
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,16,thomas martin,17,17,9,0,7,85,45,0,35
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,78,joyce barnes,18,18,7,5,10,90,35,25,50
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,12,maria thomas,0,0,0,0,1,0,0,0,5
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,40,ashley carter,14,14,1,1,6,70,5,5,30
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,20,daniel robinson,14,14,5,7,10,70,25,35,50
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,82,katie jenkins,16,16,12,1,6,80,60,5,30
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,56,claudia cook,21,21,11,3,6,105,55,15,30
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,2,jane doe,14,14,5,1,7,70,25,5,35
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,48,carla evans,3,3,2,0,8,15,10,0,40
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,26,betty hall,0,0,0,0,10,0,0,0,50
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,42,angela perez,17,17,15,2,2,85,75,10,10
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,96,maxine russell,8,8,6,0,2,40,30,0,10
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,16,thomas martin,5,5,3,0,1,25,15,0,5
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,94,marsha bryant,13,13,10,0,3,65,50,0,15
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,76,jean bennett,14,14,6,8,5,70,30,40,25
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,50,caroline collins,13,13,4,6,0,65,20,30,0
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,24,mark lee,20,20,3,11,7,100,15,55,35
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,2,jane doe,9,9,0,7,10,45,0,35,50
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,70,grace james,20,20,3,16,7,100,15,80,35
