Interval Start,Interval End,Interval Complete,Filters,Media Type,Agent Id,Agent Name,Handle,Avg Handle
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,97,melba griffin,1,1
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,91,margaret simmons,14,14
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,60,esther bailey,16,16
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,46,beatrice campbell,19,19
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,42,angela perez,0,0
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,13,patricia jackson,5,5
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,91,margaret simmons,3,3
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,43,anna roberts,19,19
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,56,claudia cook,18,18
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,43,anna roberts,24,24
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,45,arlene phillips,6,6
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,50,caroline collins,2,2
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,55,christine reed,6,6
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,57,darlene morgan,6,6
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,15,barbara harris,5,5
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,83,kellie perry,5,5
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,48,carla evans,3,3
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,83,kellie perry,8,8
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,19,jessica martinez,10,10
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,29,brian hernandez,16,16
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,73,hazel kelly,24,24
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,97,melba griffin,0,0
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,63,flora cox,10,10
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,1,john smith,10,10
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,65,gabrielle ward,21,21
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,47,bernadette parker,19,19
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,91,margaret simmons,24,24
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,3,bob johnson,2,2
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,91,margaret simmons,19,19
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,23,karen lewis,24,24
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,29,brian hernandez,11,11
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,58,elaine bell,14,14
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,5,michael brown,1,1
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,67,geraldine peterson,2,2
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,73,hazel kelly,18,18
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,42,angela perez,6,6
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,55,christine reed,25,25
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,42,angela perez,16,16
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,3,bob johnson,18,18
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,89,maggie washington,9,9
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,54,charlotte rogers,18,18
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,91,margaret simmons,6,6
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,97,melba griffin,14,14
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,43,anna roberts,5,5
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,54,charlotte rogers,11,11
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,99,myrtle hayes,4,4
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,46,beatrice campbell,7,7
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,58,elaine bell,24,24
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,55,christine reed,23,23
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,39,kenneth nelson,7,7
