Interval Start,Interval End,Interval Complete,Filters,Agent Id,Agent Name,Logged In,On Queue,Idle,Off Queue,Interacting
2025-08-21T01:27:00+00:00,2025-08-21T01:27:00+00:00,true,,27,kevin allen,283,91,19,34,93
2025-08-21T01:27:00+00:00,2025-08-21T01:27:00+00:00,true,,67,geraldine peterson,201,87,84,7,20
2025-08-21T01:27:00+00:00,2025-08-21T01:27:00+00:00,true,,13,patricia jackson,335,179,4,25,123
2025-08-21T01:27:00+00:00,2025-08-21T01:27:00+00:00,true,,97,melba griffin,435,156,31,58,66
2025-08-21T01:27:00+00:00,2025-08-21T01:27:00+00:00,true,,48,carla evans,369,95,22,11,121
2025-08-21T01:27:00+00:00,2025-08-21T01:27:00+00:00,true,,67,geraldine peterson,327,295,4,2,26
2025-08-21T01:27:00+00:00,2025-08-21T01:27:00+00:00,true,,54,charlotte rogers,366,80,82,29,37
2025-08-21T01:27:00+00:00,2025-08-21T01:27:00+00:00,true,,25,steven walker,303,241,33,0,28
2025-08-21T01:27:00+00:00,2025-08-21T01:27:00+00:00,true,,43,anna roberts,349,82,65,44,157
2025-08-21T01:27:00+00:00,2025-08-21T01:27:00+00:00,true,,99,myrtle hayes,230,116,2,23,74
2025-08-21T01:27:00+00:00,2025-08-21T01:27:00+00:00,true,,67,geraldine peterson,474,196,80,48,47
2025-08-21T01:27:00+00:00,2025-08-21T01:27:00+00:00,true,,9,david moore,279,145,2,0,132
2025-08-21T01:27:00+00:00,2025-08-21T01:27:00+00:00,true,,5,michael brown,340,241,21,1,76
2025-08-21T01:27:00+00:00,2025-08-21T01:27:00+00:00,true,,52,catherine sanchez,357,164,8,4,176
2025-08-21T01:27:00+00:00,2025-08-21T01:27:00+00:00,true,,95,matilda alexander,452,172,33,28,32
2025-08-21T01:27:00+00:00,2025-08-21T01:27:00+00:00,true,,29,brian hernandez,376,84,86,40,20
2025-08-21T01:27:00+00:00,2025-08-21T01:27:00+00:00,true,,11,robert anderson,215,78,12,27,97
2025-08-21T01:27:00+00:00,2025-08-21T01:27:00+00:00,true,,51,cassandra stewart,451,96,44,13,89
