Interval Start,Interval End,Interval Complete,Filters,Media Type,Agent Id,Agent Name,Handle
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,20,daniel robinson,18
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,18,christopher garcia,10
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,28,dorothy young,4
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,80,janet henderson,9
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,66,georgia torres,9
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,4,alice williams,6
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,55,christine reed,12
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,88,lucille flores,18
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,52,catherine sanchez,25
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,82,katie jenkins,23
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,57,darlene morgan,18
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,72,harriet brooks,8
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,10,jennifer taylor,21
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,62,felicia richardson,22
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,62,felicia richardson,20
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,55,christine reed,1
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,94,marsha bryant,3
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,41,amy mitchell,13
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,94,marsha bryant,12
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,62,felicia richardson,2
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,50,caroline collins,22
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,16,thomas martin,23
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,56,claudia cook,7
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,80,janet henderson,0
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,59,elaine murphy,4
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,2,jane doe,11
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,50,caroline collins,5
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,40,ashley carter,10
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,41,amy mitchell,13
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,6,linda davis,11
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,32,brenda lopez,22
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,59,elaine murphy,0
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,45,arlene phillips,21
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,51,cassandra stewart,15
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,18,christopher garcia,19
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,98,muriel diaz,11
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,64,francis howard,14
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,2,jane doe,14
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,48,carla evans,7
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,53,cecilia morris,15
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,66,georgia torres,10
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,38,kimberly gonzalez,19
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,30,helen king,13
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,41,amy mitchell,3
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,20,daniel robinson,5
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,6,linda davis,24
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,88,lucille flores,24
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,16,thomas martin,24
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,50,caroline collins,4
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,48,carla evans,2
